block,semester,name,hours,load
Блок 1,,,48,1728
Блок 1,,Обязательные дисциплины. 1 семестр,3,108
Блок 1,1.0,Воркшоп по созданию продукта на данных / Data Product Development Workshop,3,108
Блок 1,,Пул выборных дисциплин. 1 семестр,15,540
Блок 1,1.0,Практика применения машинного обучения,6,216
Блок 1,1.0,Алгоритмы и структуры данных,3,108
Блок 1,1.0,Математическая статистика,3,108
Блок 1,1.0,Разработка веб-приложений (Python Backend),6,216
Блок 1,1.0,Программирование на С++,3,108
Блок 1,1.0,Введение в МО (Python) и Продвинутое МО (Python),3,108
Блок 1,1.0,Технологии обработки естественного языка,6,216
Блок 1,1.0,Автоматическое машинное обучение,3,108
Блок 1,1.0,Обработка и генерация изображений,3,108
Блок 1,1.0,Проектирование и разработка рекомендательных систем (продвинутый уровень),6,216
Блок 1,1.0,Основы глубокого обучения,3,108
Блок 1,1.0,Продвинутое МО (Python) и Глубокое обучение,3,108
Блок 1,1.0,Введение в большие языковые модели (LLM),3,108
Блок 1,1.0,Проектирование систем машинного обучения (ML System Design),6,216
Блок 1,1.0,Проектирование микросервисов,6,216
Блок 1,1.0,Хранение больших данных и Введение в МО (Python),3,108
Блок 1,1.0,Вычисления на графических процессорах (GPU),6,216
Блок 1,1.0,UNIX/Linux системы,3,108
Блок 1,1.0,Инструменты разработки data-driven решений,3,108
Блок 1,1.0,Контейнеризация и оркестрация приложений,3,108
Блок 1,1.0,Продуктовые исследования,3,108
Блок 1,1.0,Графические интерфейсы,3,108
Блок 1,1.0,Создание интеллектуальных агентов,6,216
Блок 1,1.0,Прикладной анализ временных рядов,3,108
Блок 1,1.0,Процессы и методологии разработки решений на основе ИИ,3,108
Блок 1,1.0,Инжиниринг управления данными,3,108
Блок 1,1.0,Бизнес-аналитика для инженеров,3,108
Блок 1,1.0,Математика для машинного обучения и анализа данных,3,108
Блок 1,1.0,Языки программирования,3,108
Блок 1,1.0,Основы машинного обучения,3,108
Блок 1,1.0,Инженерные практики в ML и анализе данных,6,216
Блок 1,1.0,Дополнительные разделы машинного обучения,3,108
Блок 1,1.0,Базы данных,3,108
Блок 1,,Пул выборных дисциплин. 2 семестр,12,432
Блок 1,2.0,Глубокое обучение на практике,6,216
Блок 1,2.0,Воркшоп по прикладному использованию языковых и генеративных моделей,6,216
Блок 1,2.0,Глубокие генеративные модели (Deep Generative Models),6,216
Блок 1,2.0,Дополнительные разделы математики и алгоритмов,3,108
Блок 1,2.0,Программирование на Python (продвинутый уровень),3,108
Блок 1,2.0,DevOps практики и инструменты,3,108
Блок 1,2.0,Технологии и практики MLOps,6,216
Блок 1,2.0,Продвинутое МО (Python) и Автоматическая обработка текстов,3,108
