block,semester,name,hours,load
Блок 1,,,60,2160
Блок 1,,Обязательные дисциплины. 1 семестр,6,216
Блок 1,1.0,Продуктовые исследования,3,108
Блок 1,1.0,Воркшоп по созданию продукта на данных / Data Product Development Workshop,3,108
Блок 1,,Пул выборных дисциплин. 1 семестр,12,432
Блок 1,1.0,Процессы и методологии разработки решений на основе ИИ,3,108
Блок 1,1.0,Монетизация ИИ-продуктов,3,108
Блок 1,1.0,Стратегический продуктовый менеджмент,3,108
Блок 1,1.0,Продуктовый дизайн и прототипирование AI-решений,3,108
Блок 1,1.0,Математика для машинного обучения и анализа данных,3,108
Блок 1,1.0,Математическая статистика,3,108
Блок 1,1.0,Основы программирования на Python,3,108
Блок 1,1.0,Основы машинного обучения,3,108
Блок 1,1.0,Основы глубокого обучения,3,108
Блок 1,1.0,Введение в большие языковые модели (LLM),3,108
Блок 1,1.0,Прикладной анализ временных рядов,3,108
Блок 1,1.0,Инженерные практики в ML и анализе данных,6,216
Блок 1,1.0,Прикладные инструменты разработки,6,216
Блок 1,1.0,Разработка веб-приложений (Python Backend),6,216
Блок 1,1.0,Проектирование микросервисов,6,216
Блок 1,,Пул выборных дисциплин. 2 семестр,12,432
Блок 1,2.0,Бизнес-анализ,3,108
Блок 1,2.0,Практики менторства и развития в Data Science,3,108
Блок 1,2.0,Управление проектами в Data Science,3,108
Блок 1,2.0,Метрики и аналитика продукта,3,108
Блок 1,2.0,Управление продуктовым портфелем,3,108
Блок 1,2.0,Основы маркетинга для ИИ-продуктов,3,108
Блок 1,2.0,Управление командами и проектами в ИИ,3,108
Блок 1,2.0,Фандрайзинг и бизнес-планирование,3,108
Блок 1,2.0,Инженерия данных,3,108
Блок 1,2.0,Программирование на Python (продвинутый уровень),3,108
Блок 1,2.0,Прикладные задачи машинного обучения,3,108
Блок 1,2.0,Данные в финансовом секторе,3,108
Блок 1,2.0,Финансовые технологии,3,108
Блок 1,2.0,Глубокое обучение на практике,6,216
Блок 1,2.0,Проектирование систем машинного обучения (ML System Design),6,216
Блок 1,,Прикладные задачи машинного обучения. 2 семестр,6,216
